Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"4,100,000","1,226.02","3,344",Oct-24,Land,113.9,"35,996",99 yrs lease commencing from 1995,08,-
ADELPHI PARK ESTATE,JASMINE ROAD,Shop House,"4,500,000","1,401.47","3,211",Sep-24,Land,130.2,"34,562",Freehold,20,-
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,Shop House,"8,500,000","1,388.56","6,121",Sep-24,Strata,129,"65,891",999 yrs lease commencing from 1967,02,-
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Shop House,"5,000,000","2,895.52","1,727",Sep-24,Land,269,"18,587",Freehold,20,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,700,000","1,289.53","4,420",Sep-24,Land,119.8,"47,579",Freehold,08,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"6,300,000","1,200.19","5,249",Sep-24,Land,111.5,"56,502",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"5,775,000",982.75,"5,876",Sep-24,Land,91.3,"63,253",Freehold,08,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"8,800,000","1,924.6","4,572",Sep-24,Land,178.8,"49,217",Freehold,14,-
N.A.,ROBERTS LANE,Shop House,"3,800,000","1,130.22","3,362",Sep-24,Land,105,"36,190",Freehold,08,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,600,000","1,173.28","4,773",Sep-24,Land,109,"51,376",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"7,300,000","1,362.72","5,357",Sep-24,Land,126.6,"57,662",999 yrs lease commencing from 1872,08,-
ATLAND HOUSE,BUKIT TIMAH ROAD,Shop House,"17,000,000","2,082.83","8,162",Aug-24,Land,193.5,"87,855",Freehold,09,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"13,250,000","1,185.12","11,180",Aug-24,Land,110.1,"120,345",999 yrs lease commencing from 1827,01,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"2,889,000","1,377.79","2,097",Aug-24,Land,128,"22,570",Freehold,19,-
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"10,200,000","1,617.83","6,305",Jul-24,Land,150.3,"67,864",99 yrs lease commencing from 1994,02,-
